Breakthrough:		NullResponse:		SVR:		Partial:		Relapse:	
3.109	5.500	2.601	4.840	2.450	6.692	2.957	6.657	2.819	6.931
6.747	4.650	2.831	4.992	6.504	2.946	6.627	5.474	6.740	6.513
10.040	4.222	3.060	5.181	10.081	1.916	14.062	4.639	10.603	5.140
18.510	2.500	4.411	5.660	14.107	1.903	17.817	4.918	14.371	2.926
25.385	1.782	7.283	5.534	17.837	1.895	27.111	5.418	18.205	2.933
39.528	1.766	9.119	5.291	24.857	1.901	33.531	6.578	25.730	1.944
48.927	2.534	10.249	5.108	37.420	1.892	48.964	6.445	36.926	1.936
71.114	5.326	13.699	5.405	49.247	1.915	60.557	6.815	44.452	1.914
		17.974	5.269	60.084	1.878	71.512	6.732	49.584	1.898
		25.953	5.296	68.916	1.915			60.174	6.337
		29.472	5.190					72.159	7.028
		33.364	5.260						
		37.426	5.282						
		41.013	5.149						
		49.018	5.148						
		52.605	5.272						
		56.666	5.363						
		60.167	5.257						
		64.654	5.262						
		67.926	5.308						
		71.972	5.387						
